Users,Bandwidth,Latency,SignalStrength,PacketLoss,Throughput,Jitter,EnergyConsumption,HandoverRate,MobilitySpeed,EdgeServerLoad,NetworkSlice,Congestion
5640,296,83.85,60,13.37,16.81,37.2,103.36,11.12,85,66,eMBB,High
3562,1593,34.51,46,8.96,589.02,24.02,92.54,7.24,17,70,URLLC,High
4163,1622,25.0,39,3.59,509.58,10.63,80.03,2.44,80,48,URLLC,Low
5955,1381,54.06,83,8.82,913.11,25.04,102.7,11.04,113,64,URLLC,High
1624,1088,5.0,60,6.77,575.37,10.1,57.71,10.98,23,45,eMBB,Medium
4860,1272,58.39,39,9.07,337.08,27.39,82.34,11.87,65,46,mMTC,High
132,409,8.09,56,6.23,213.85,12.9,33.95,10.49,140,23,URLLC,Medium
6298,729,81.33,47,11.83,151.4,33.08,82.69,11.97,61,36,URLLC,High
4125,1544,30.15,62,8.2,788.74,23.21,109.25,2.94,53,92,URLLC,High
2666,470,55.3,67,8.86,225.0,25.69,68.53,10.11,142,40,eMBB,High
2903,1599,39.52,57,10.78,756.98,24.19,97.31,9.88,130,82,eMBB,High
3996,460,76.58,52,8.09,123.17,27.53,110.61,2.77,36,90,eMBB,High
3809,1409,41.04,64,4.4,773.47,14.13,107.53,1.18,36,92,mMTC,Medium
6255,821,83.27,60,10.79,291.93,36.42,98.3,11.75,130,53,eMBB,High
5747,899,73.9,50,10.45,266.68,32.93,109.55,3.55,34,77,eMBB,High
819,752,17.19,73,8.62,489.05,18.66,65.43,10.45,179,57,eMBB,High
4679,592,61.92,67,5.25,262.31,23.5,101.36,0.05,123,66,eMBB,Medium
1072,1028,26.04,60,1.37,582.96,4.94,88.63,0.25,155,84,mMTC,Low
3818,1291,23.09,82,4.0,927.88,12.51,59.29,5.59,17,31,URLLC,Low
4502,1009,25.59,99,0.0,886.36,5.7,42.79,2.86,121,13,URLLC,Low
4652,1619,48.45,72,7.69,974.68,21.33,116.27,8.28,163,90,eMBB,High
2307,992,55.96,36,7.92,275.88,23.08,106.44,6.79,160,81,URLLC,High
4526,723,51.98,40,3.55,167.49,17.24,90.9,0.93,153,55,URLLC,Medium
4420,506,73.87,80,7.26,269.81,27.34,92.06,1.95,47,68,eMBB,High
3130,581,61.52,84,5.71,386.57,17.94,75.86,4.66,167,43,eMBB,Medium
3675,809,15.53,72,0.0,490.6,6.43,47.64,2.23,16,20,eMBB,Low
5675,1363,67.87,52,8.12,518.93,28.31,87.2,9.51,167,40,URLLC,High
3216,1616,17.47,61,3.7,874.97,8.87,55.09,4.99,134,20,URLLC,Low
3385,150,56.53,75,5.77,22.47,18.4,78.59,1.12,56,65,eMBB,High
5278,557,60.08,51,7.29,134.86,25.43,79.56,5.81,7,47,eMBB,High
743,1281,5.0,96,0.0,1211.18,1.89,41.81,1.09,127,30,URLLC,Low
4811,536,52.9,63,1.85,212.2,14.1,53.92,1.55,116,19,URLLC,Low
294,268,5.0,92,4.94,229.06,10.44,44.95,2.88,55,35,mMTC,Low
4096,370,67.05,56,6.13,94.22,24.92,58.73,10.31,125,17,URLLC,High
588,1623,5.0,40,6.73,598.09,14.05,40.66,11.1,158,17,eMBB,Medium
2304,999,34.53,60,12.54,479.16,26.47,88.0,9.92,58,69,eMBB,High
2757,371,50.9,73,6.5,187.24,19.03,96.32,4.01,57,81,URLLC,High
5445,835,67.44,46,8.87,219.58,27.93,85.58,3.27,139,43,eMBB,High
3376,1738,31.68,48,3.98,722.17,17.05,54.72,6.59,175,25,URLLC,Low
1202,1386,5.0,56,1.45,736.73,3.07,41.27,8.66,158,22,mMTC,Low
5343,1647,62.16,85,10.75,1140.96,30.19,110.6,11.92,107,85,URLLC,High
1341,456,11.52,57,0.27,225.81,4.32,50.13,1.58,73,31,eMBB,Low
615,1761,5.0,82,0.0,1428.64,0.5,49.27,0.59,166,36,URLLC,Low
5821,1259,71.19,84,8.81,834.39,29.39,102.33,8.33,147,73,URLLC,High
5323,587,61.05,47,9.12,121.85,26.52,61.56,9.99,100,11,URLLC,High
492,1516,5.0,44,5.55,623.89,12.83,51.34,10.16,47,35,mMTC,Medium
730,607,40.6,89,8.29,484.66,19.51,94.7,8.14,70,92,eMBB,High
3816,1458,43.17,43,13.56,460.7,35.45,99.37,11.45,115,78,mMTC,High
1947,638,50.92,86,7.2,467.08,20.78,101.1,6.13,121,93,mMTC,High
2755,1290,24.78,36,9.29,359.57,21.3,61.23,10.97,77,39,eMBB,High
1079,1134,5.0,59,3.14,624.58,6.25,40.15,11.61,28,17,eMBB,Low
4629,339,68.86,47,8.45,32.39,24.6,82.46,10.17,92,47,eMBB,High
3502,500,51.05,85,5.49,318.01,20.19,86.93,3.72,72,70,eMBB,Medium
3971,1632,56.7,92,8.18,1299.82,23.58,105.52,2.35,99,90,eMBB,Medium
377,1654,6.99,68,4.64,1071.81,10.2,81.39,6.58,175,74,URLLC,Low
332,383,33.41,69,5.28,244.34,13.38,78.22,5.44,73,76,eMBB,Medium
1652,1021,18.46,37,9.06,307.95,18.21,65.58,10.53,94,55,eMBB,High
5790,1142,66.45,93,6.22,862.26,21.95,112.77,1.2,16,81,mMTC,Medium
5309,1592,44.71,82,2.62,1144.21,13.6,90.3,3.09,136,52,eMBB,Low
3370,1747,19.08,98,5.97,1542.64,14.2,91.22,9.02,96,68,mMTC,Low
2509,621,71.37,53,7.15,246.79,24.65,85.59,1.14,161,55,eMBB,High
3612,1773,46.98,39,5.75,568.04,17.49,107.99,3.85,172,81,eMBB,Medium
125,1381,5.0,45,4.49,595.07,9.16,52.38,4.65,8,44,URLLC,Low
5613,1306,71.3,35,8.19,285.58,27.15,90.27,7.47,134,48,URLLC,High
560,1169,5.0,97,4.08,1081.38,8.09,63.0,1.9,143,60,mMTC,Low
3864,187,43.69,63,7.52,13.83,24.59,51.21,10.33,18,13,URLLC,High
3531,347,83.95,46,11.81,55.64,36.29,108.56,5.37,133,89,mMTC,High
5287,301,93.16,75,12.06,70.89,41.12,115.96,11.0,113,86,eMBB,High
5202,1633,91.25,36,12.69,395.66,37.86,122.56,5.61,138,93,eMBB,High
3583,1193,36.91,71,6.08,714.54,16.88,82.56,3.3,124,60,mMTC,Medium
2094,772,22.07,79,1.29,550.97,5.15,33.26,1.7,60,14,mMTC,Low
590,334,27.89,82,2.05,254.45,9.11,70.74,0.04,41,64,mMTC,Low
1172,1558,5.0,58,3.96,844.52,6.98,43.93,6.39,12,29,eMBB,Low
3273,332,53.69,56,0.42,103.44,9.44,67.64,1.29,139,33,eMBB,Low
315,336,37.75,45,8.33,132.83,17.16,47.46,4.7,84,45,mMTC,High
1823,462,18.67,92,3.53,366.96,12.29,53.39,7.07,19,43,eMBB,Low
1692,521,36.08,80,4.14,360.12,12.77,69.87,3.31,49,63,mMTC,Medium
2706,678,52.91,63,2.04,352.23,15.94,71.2,2.1,163,43,mMTC,Low
258,1193,15.99,69,10.06,747.71,19.79,99.04,9.3,91,92,eMBB,High
4881,469,66.8,49,10.18,88.29,30.62,56.99,11.36,87,26,mMTC,High
3413,661,23.91,94,0.0,536.01,4.45,43.4,1.21,68,14,mMTC,Low
2941,1147,5.0,76,0.0,798.2,1.73,58.75,1.87,36,27,eMBB,Low
1876,1767,5.0,77,6.78,1236.82,10.41,76.13,11.52,139,64,mMTC,Medium
2152,677,35.68,83,3.68,490.88,15.04,76.05,0.45,98,62,URLLC,Medium
6039,98,96.15,98,11.7,5.0,36.46,98.58,11.73,124,59,mMTC,High
2395,1204,27.75,66,3.83,709.4,13.36,88.98,0.06,167,81,eMBB,Low
5785,686,81.45,98,10.88,466.7,30.24,115.06,10.48,53,88,mMTC,High
1796,1460,29.74,36,2.83,468.3,8.66,70.93,3.69,129,54,eMBB,Low
3093,1645,7.4,58,7.64,816.03,15.06,64.24,11.26,177,22,eMBB,Medium
2569,112,23.93,100,0.0,47.77,3.98,42.58,3.8,40,25,mMTC,Low
2046,1332,37.83,72,8.93,836.52,22.9,96.99,7.85,44,95,eMBB,High
3909,1627,58.09,65,4.82,917.35,19.07,116.54,0.96,102,93,eMBB,Medium
6258,1733,55.7,60,5.23,838.03,22.57,73.15,2.91,105,22,mMTC,Low
2883,941,25.34,63,7.0,486.17,17.54,61.32,9.28,136,29,mMTC,Medium
3744,234,68.98,59,8.53,34.65,26.05,107.38,6.34,127,75,URLLC,High
5341,1526,60.77,82,10.76,1005.59,28.44,86.92,11.14,85,56,URLLC,High
5777,984,39.36,99,0.96,821.94,11.13,72.36,5.15,46,28,eMBB,Low
2600,1349,18.41,87,6.97,1040.46,12.11,74.07,10.44,4,54,eMBB,Medium
3745,484,65.47,52,5.32,146.9,21.95,67.96,5.39,0,46,eMBB,High
2745,923,46.46,43,12.49,286.96,27.36,79.17,11.75,43,63,URLLC,High
6453,1644,51.37,72,8.05,942.95,25.15,67.72,11.52,149,15,mMTC,Medium
2449,1264,19.32,55,3.8,611.96,9.07,45.55,3.95,37,23,mMTC,Low
2032,826,5.0,99,3.08,745.95,7.19,36.45,10.63,18,13,mMTC,Low
3394,1220,68.41,55,13.6,510.1,35.51,112.21,10.17,158,95,eMBB,High
1857,350,43.97,61,3.42,160.99,10.96,79.7,2.53,114,64,URLLC,Medium
6246,849,76.35,78,6.19,471.91,25.55,81.75,7.49,86,43,eMBB,High
5185,1795,44.56,62,2.45,960.55,10.74,79.35,0.87,169,36,URLLC,Low
5737,1590,23.97,79,3.75,1073.42,12.29,70.41,10.04,122,16,eMBB,Low
1216,251,19.87,51,2.4,95.05,5.65,40.12,2.09,81,12,mMTC,Low
2667,353,34.99,74,2.3,189.54,10.69,79.09,0.85,153,56,eMBB,Low
3599,338,53.57,37,2.9,32.06,14.65,53.47,4.8,140,11,eMBB,Medium
592,1238,11.46,100,4.48,1176.98,8.47,85.49,6.92,57,89,eMBB,Low
3406,1786,31.91,80,7.81,1250.66,21.78,62.07,10.26,145,34,mMTC,Medium
719,501,33.16,64,5.87,286.98,16.01,80.8,11.69,66,69,URLLC,High
3332,1524,58.14,43,7.58,530.63,22.51,114.56,5.27,121,88,eMBB,High
3923,1289,25.89,45,4.37,460.85,12.69,67.78,0.73,86,33,eMBB,Low
2480,443,32.94,100,4.37,364.87,10.45,45.71,8.99,130,24,URLLC,Medium
6293,1710,34.09,65,5.85,899.99,20.98,68.45,6.78,54,23,eMBB,Low
1646,457,47.22,67,7.37,246.23,18.86,75.99,5.37,88,63,mMTC,High
5058,1626,46.73,73,6.61,995.15,20.75,111.9,3.71,57,87,URLLC,Medium
5887,659,53.51,80,1.64,372.82,12.54,63.38,6.03,62,15,eMBB,Low
3663,970,49.31,71,5.16,567.51,20.01,107.47,4.06,90,87,eMBB,Medium
1705,801,36.81,94,6.83,667.46,18.59,87.69,9.08,51,90,mMTC,High
3852,1299,46.31,65,6.11,705.06,17.45,56.58,6.53,125,27,eMBB,Medium
4775,960,49.49,45,9.43,278.68,21.22,69.56,10.52,23,29,eMBB,High
1990,1201,33.15,36,6.6,358.83,13.63,81.34,6.52,71,71,mMTC,High
1375,684,17.74,61,5.51,363.71,12.08,89.94,2.86,8,90,mMTC,Medium
2843,101,73.69,36,12.89,5.0,37.92,105.63,10.21,109,89,mMTC,High
6051,1553,66.25,55,7.97,646.15,22.13,90.15,6.69,164,49,mMTC,High
2593,1275,15.35,92,0.88,1099.57,7.96,66.81,2.48,93,48,eMBB,Low
5551,462,97.29,39,13.43,21.24,42.52,100.73,7.48,116,61,eMBB,High
5358,213,69.77,86,6.44,39.4,20.81,74.18,4.29,82,41,mMTC,High
456,1529,16.45,79,8.73,1108.63,15.63,89.15,10.13,79,82,URLLC,High
5820,1128,64.4,54,5.55,435.45,19.06,73.07,5.44,151,36,eMBB,Medium
6202,582,80.33,95,7.79,361.96,28.3,96.56,8.72,148,61,mMTC,High
969,1288,13.17,72,3.81,873.69,8.74,75.42,1.15,99,72,eMBB,Low
985,1188,14.62,54,5.59,587.01,11.95,80.35,4.75,39,83,URLLC,Medium
2101,1670,31.72,59,10.46,846.89,22.48,95.26,11.8,102,72,eMBB,High
6397,223,77.06,36,6.21,5.0,24.78,84.9,9.7,61,26,URLLC,High
5609,1782,51.28,66,3.88,997.87,17.5,90.8,1.92,68,58,eMBB,Low
1383,1515,25.67,60,6.11,828.14,14.75,103.22,3.33,141,90,eMBB,Medium
719,303,36.26,75,8.29,193.58,19.29,93.9,3.96,108,91,eMBB,High
982,299,37.75,35,5.31,75.47,17.81,60.37,7.8,169,32,URLLC,High
896,258,41.03,85,6.55,184.93,18.08,86.4,9.08,177,81,URLLC,High
3742,1734,8.77,39,6.16,548.0,13.15,55.25,8.99,3,22,URLLC,Medium
6368,512,65.28,47,6.67,68.06,22.89,85.33,6.12,71,32,mMTC,High
3525,344,54.96,53,7.25,83.18,24.39,91.39,9.73,16,66,eMBB,High
1396,1033,32.64,46,4.32,423.17,15.69,83.91,5.24,113,71,eMBB,Medium
4814,508,65.39,82,3.91,282.64,20.81,87.87,1.49,84,63,mMTC,Medium
6030,1765,45.71,59,5.59,842.09,16.63,70.05,6.77,56,29,eMBB,Medium
344,495,36.64,91,12.85,393.61,27.32,83.05,11.43,106,95,mMTC,High
2995,1556,48.44,69,7.13,934.97,22.59,81.99,9.52,47,61,eMBB,Medium
1029,806,25.37,39,6.5,271.59,15.49,54.49,6.94,171,32,mMTC,Medium
5466,276,69.0,56,5.11,11.33,21.04,89.03,7.76,172,44,eMBB,High
619,1657,5.0,91,8.57,1384.71,14.08,77.29,11.17,116,76,mMTC,Medium
3312,1156,33.73,81,6.85,800.11,20.54,65.98,5.14,160,43,URLLC,Medium
2509,559,22.54,88,3.26,415.83,11.68,58.84,3.98,30,42,mMTC,Low
107,1546,5.0,37,7.61,533.07,13.6,66.17,11.73,111,55,eMBB,Medium
2625,1433,27.16,87,11.42,1062.44,23.01,94.14,10.36,46,90,URLLC,High
3523,1354,40.9,65,5.69,750.29,15.66,81.07,3.88,133,54,mMTC,Medium
2119,969,5.0,67,3.18,579.05,6.57,47.83,5.57,107,28,URLLC,Low
4690,1004,45.57,84,2.12,711.21,12.58,57.95,4.98,71,24,URLLC,Low
5825,202,87.95,50,8.97,5.0,29.36,115.51,1.79,70,87,URLLC,High
5258,1490,61.62,73,10.11,864.61,25.79,107.77,11.49,161,75,URLLC,High
4382,1442,31.98,80,5.0,995.98,14.42,84.95,4.85,107,48,URLLC,Low
3767,857,32.79,81,6.53,562.22,18.73,53.07,10.5,52,27,URLLC,Medium
3771,427,69.53,78,8.3,215.75,26.77,98.79,2.27,141,79,mMTC,High
2901,108,62.21,43,8.07,5.0,24.42,82.92,6.57,15,68,eMBB,High
6073,1054,74.32,84,3.18,710.07,16.52,84.9,0.29,170,41,eMBB,Low
6336,114,84.09,94,9.12,5.0,29.37,81.66,9.17,115,30,mMTC,High
185,1621,5.0,49,5.01,756.5,11.17,61.65,6.97,72,49,mMTC,Low
3215,1499,21.65,70,5.08,924.5,10.03,60.77,7.51,73,36,URLLC,Low
4332,702,47.57,97,0.0,572.64,12.11,42.58,0.62,80,11,URLLC,Low
2568,1397,37.85,75,5.65,934.22,16.59,89.11,2.53,11,89,eMBB,Medium
6317,668,78.62,58,6.15,209.66,21.43,90.05,0.89,127,48,eMBB,High
3719,1452,58.43,83,10.41,1007.64,29.22,101.91,3.47,69,95,URLLC,High
1736,1250,33.2,52,5.09,579.03,15.53,84.44,7.53,146,65,eMBB,Medium
3683,1170,18.79,41,2.62,377.15,6.96,60.12,6.79,40,22,URLLC,Low
4109,983,62.85,38,9.2,242.18,28.83,96.39,7.35,156,65,eMBB,High
3426,599,40.44,94,7.02,444.47,17.97,91.71,6.59,58,75,mMTC,High
2318,201,39.82,89,5.56,112.65,17.88,90.87,3.28,88,87,mMTC,High
5947,419,75.79,50,6.35,49.74,24.37,93.07,2.93,23,65,URLLC,High
2317,254,44.48,63,1.21,100.48,9.5,61.31,1.64,143,37,URLLC,Low
5983,1794,69.03,57,10.19,786.17,32.43,115.94,10.19,179,73,eMBB,High
5067,676,68.7,48,11.57,166.52,34.0,117.41,7.4,79,80,mMTC,High
2469,530,39.83,83,5.88,356.62,14.95,110.56,2.24,133,91,URLLC,High
3738,636,78.89,67,7.98,304.33,28.53,97.87,2.13,164,73,eMBB,High
2603,1239,37.74,59,7.48,620.37,23.3,88.74,10.48,131,65,mMTC,High
1043,1119,26.44,55,9.62,540.04,23.85,63.47,8.91,91,50,mMTC,High
5822,1436,75.88,51,8.22,536.64,25.81,95.07,7.91,165,50,mMTC,High
2937,1298,24.98,57,3.67,643.81,13.93,47.43,4.88,168,13,URLLC,Low
2760,1599,22.59,91,3.62,1342.19,12.08,80.41,3.14,91,66,URLLC,Low
3036,88,42.21,92,7.06,5.0,17.5,59.97,11.75,80,39,eMBB,High
4544,413,96.89,48,14.16,61.25,41.93,127.58,9.57,141,93,mMTC,High
4047,1436,38.04,54,6.19,634.27,18.33,84.16,3.62,70,55,mMTC,Medium
1776,1096,29.59,64,13.02,580.93,25.31,88.84,10.17,178,65,eMBB,High
1296,406,9.42,53,7.17,169.92,15.3,51.02,9.11,64,40,eMBB,Medium
4205,94,45.13,87,3.41,5.0,18.78,36.81,3.56,51,16,eMBB,Low
2887,918,51.58,90,9.2,690.68,27.65,92.92,5.12,29,86,mMTC,High
1561,1717,22.28,57,4.96,899.21,12.77,72.48,2.23,98,63,mMTC,Low
3418,305,40.56,96,0.71,205.62,7.95,42.46,1.33,157,17,eMBB,Low
766,1528,5.0,67,7.16,943.53,13.73,75.81,8.67,97,64,URLLC,Medium
5718,1511,70.85,52,9.2,582.53,26.44,105.17,3.21,41,78,eMBB,High
2276,192,50.4,67,10.96,59.99,26.75,75.25,9.84,138,53,mMTC,High
3843,1531,11.61,66,4.02,880.53,5.0,60.09,11.95,26,22,mMTC,Low
700,80,9.97,95,0.0,58.5,2.66,36.95,0.92,151,29,mMTC,Low
2752,345,82.72,88,11.36,206.06,33.53,100.93,5.68,166,87,URLLC,High
4522,1594,41.03,51,6.7,654.5,20.01,80.77,9.62,71,41,eMBB,Medium
3924,1311,49.81,53,7.14,555.39,21.34,89.57,9.47,17,69,eMBB,High
4006,1725,25.32,68,4.7,1026.91,10.53,86.21,9.12,76,59,eMBB,Low
1079,1031,6.18,59,5.78,552.02,11.34,50.95,4.19,44,36,mMTC,Low
2551,1472,17.81,45,5.81,566.55,11.66,61.5,5.45,114,34,mMTC,Medium
728,385,38.69,50,6.37,164.08,21.1,67.67,7.14,86,61,mMTC,High
1729,91,63.73,95,9.68,36.25,26.24,82.4,11.69,139,77,mMTC,High
3796,1448,24.51,41,3.86,479.68,10.03,64.28,3.93,176,30,URLLC,Low
3530,1568,17.51,50,8.34,641.26,15.3,65.07,11.08,158,27,mMTC,Medium
3774,1769,33.46,50,4.07,760.15,10.74,74.96,3.23,91,48,mMTC,Low
4029,1597,10.02,74,4.95,1032.31,10.28,58.33,11.87,21,24,mMTC,Low
2865,1471,45.29,46,10.43,546.22,23.39,94.18,8.04,171,62,eMBB,High
4469,1016,45.49,69,5.72,555.9,17.54,74.06,5.56,91,47,URLLC,Medium
4880,499,60.12,55,8.07,133.99,25.4,93.03,7.36,76,57,eMBB,High
215,968,5.0,84,3.96,780.91,6.78,67.45,3.27,24,61,mMTC,Low
5056,250,90.69,77,4.81,58.38,20.1,105.82,3.29,107,81,URLLC,High
2103,213,51.18,51,4.43,52.04,19.41,67.8,1.36,178,37,eMBB,Medium
792,1044,42.04,66,6.66,631.0,19.42,98.98,1.37,134,94,URLLC,High
3262,1530,17.35,75,0.12,1064.8,3.88,57.81,4.17,108,25,URLLC,Low
1205,1128,5.0,40,2.4,412.05,4.52,44.05,9.15,133,25,eMBB,Low
3108,1633,19.11,61,4.68,879.58,13.02,73.3,7.3,23,44,eMBB,Low
2261,1293,5.0,54,1.1,635.29,4.65,44.11,1.23,18,26,URLLC,Low
5988,1244,61.29,59,11.74,512.45,33.07,119.11,10.23,82,82,URLLC,High
253,1658,5.0,100,7.46,1548.6,14.12,61.77,7.22,114,61,mMTC,Low
6096,737,73.0,43,13.78,128.12,33.81,124.76,11.53,8,91,URLLC,High
5623,1418,40.58,87,2.71,1065.22,12.72,59.71,8.04,111,21,mMTC,Low
3799,1547,45.1,95,5.2,1310.99,17.49,106.23,2.1,163,92,URLLC,Medium
5485,1422,42.75,72,4.1,851.73,13.57,94.07,5.69,101,57,URLLC,Medium
4510,1544,42.0,37,6.57,427.25,17.13,72.3,7.78,167,31,mMTC,Medium
3886,1195,35.66,89,4.74,924.39,15.56,82.98,0.34,151,58,eMBB,Low
1164,258,47.28,35,5.37,57.16,17.49,74.11,0.18,47,61,eMBB,Medium
4300,1159,69.93,79,5.51,766.07,21.17,102.14,1.55,68,88,eMBB,Medium
6120,1258,46.16,81,2.95,840.93,16.67,66.28,3.02,169,10,mMTC,Low
2013,1775,33.15,60,5.55,965.42,16.75,89.26,5.15,118,75,URLLC,Medium
1316,190,56.37,48,4.04,55.23,17.88,83.79,5.85,44,73,URLLC,High
5620,216,64.76,88,0.31,49.09,14.62,63.07,1.66,124,17,eMBB,Low
2501,311,70.67,80,11.38,162.68,32.73,102.39,8.08,13,95,eMBB,High
1872,1071,15.01,65,5.88,615.24,11.29,51.64,7.15,156,34,eMBB,Low
2060,547,29.54,93,7.54,425.25,17.36,90.51,3.53,133,75,eMBB,Medium
2880,811,44.14,63,5.4,415.94,18.59,101.11,0.16,134,82,URLLC,Medium
5799,560,81.86,51,9.49,118.04,32.12,112.17,0.93,36,82,eMBB,High
4904,1171,72.09,48,10.28,391.33,31.34,112.56,4.7,52,86,eMBB,High
4846,893,54.24,70,7.37,465.56,20.02,104.17,1.85,17,79,mMTC,High
2971,1352,29.82,92,7.86,1088.09,20.36,97.76,4.52,37,88,eMBB,Medium
5142,1073,55.09,58,9.11,446.54,25.27,98.68,7.54,128,60,URLLC,High
760,402,15.72,97,6.72,349.1,15.45,69.28,6.57,43,62,mMTC,Medium
6342,1001,67.12,59,3.1,416.78,15.69,66.33,2.77,46,24,eMBB,Low
2735,983,30.34,93,0.39,842.84,10.06,75.15,4.13,34,59,URLLC,Low
2429,1621,21.77,66,8.64,932.11,19.1,91.17,7.37,59,80,mMTC,High
4054,1535,61.89,52,12.28,615.17,31.18,112.3,10.33,89,84,mMTC,High
2550,1590,12.16,71,4.71,1020.84,11.49,71.43,9.04,51,47,eMBB,Low
1232,685,18.63,60,3.49,368.25,11.0,58.53,6.64,7,49,mMTC,Medium
799,508,48.75,43,7.76,184.34,23.24,85.42,4.35,106,75,URLLC,High
6442,1372,59.98,98,6.15,1114.6,19.26,96.56,4.38,168,48,eMBB,Medium
2138,1640,39.42,54,11.49,747.35,28.91,101.24,10.55,130,83,URLLC,High
6397,227,84.19,88,1.38,37.54,16.81,78.7,0.47,141,26,mMTC,Medium
4747,1221,32.95,64,5.81,624.93,15.78,55.16,11.86,95,16,URLLC,Medium
4600,929,32.55,87,7.12,645.28,13.55,72.74,7.97,25,48,eMBB,Medium
4657,446,73.2,97,9.44,282.16,28.3,96.86,8.17,110,77,URLLC,High
2279,929,41.9,45,5.01,343.62,15.12,66.79,0.46,122,44,eMBB,Medium
2938,1169,48.17,65,7.15,641.13,21.73,83.84,7.27,167,60,eMBB,High
973,892,26.36,83,6.32,677.04,14.44,60.6,5.82,50,56,eMBB,Medium
183,1473,5.0,53,1.85,764.08,0.8,56.81,1.27,122,45,eMBB,Low
1522,254,49.5,46,5.67,73.27,19.04,82.29,3.34,4,73,eMBB,High
2775,667,21.5,49,8.16,235.23,17.24,49.91,10.68,76,22,eMBB,Medium
3280,574,44.55,65,3.71,279.56,12.87,60.82,6.6,159,27,URLLC,Medium
4416,1052,39.59,77,4.11,671.9,14.29,62.56,4.96,0,30,eMBB,Low
4075,1217,52.42,71,5.23,724.54,14.77,90.43,0.87,10,74,eMBB,Medium
1491,1214,5.0,63,3.89,702.75,8.75,37.07,8.57,7,17,mMTC,Low
3318,1542,33.53,60,9.2,771.32,21.31,81.46,8.43,152,57,URLLC,High
4307,1250,66.78,36,12.2,296.58,32.23,128.83,7.37,167,94,URLLC,High
714,114,28.24,49,6.86,34.82,18.65,60.22,6.12,31,52,eMBB,High
5777,1078,57.59,38,7.95,238.08,22.81,99.31,5.21,27,62,eMBB,High
3071,1412,43.78,84,11.7,993.66,28.29,100.89,7.12,130,94,eMBB,High
3665,617,31.82,72,5.27,333.11,14.43,69.13,2.8,127,36,eMBB,Medium
3676,829,24.94,57,8.75,346.17,25.8,59.05,11.3,61,28,eMBB,High
4670,1117,38.9,93,5.99,870.21,18.16,62.46,7.07,26,32,eMBB,Low
6109,453,87.08,62,6.55,112.8,24.53,96.24,3.73,44,59,eMBB,High
370,636,12.77,100,3.95,605.81,12.52,63.92,5.4,104,60,eMBB,Low
4166,1531,41.47,42,9.91,485.77,26.4,87.41,9.67,91,52,URLLC,High
2568,312,47.27,63,6.43,121.83,19.53,76.98,1.94,24,60,eMBB,High
6116,784,89.08,45,10.45,169.18,32.92,119.11,3.51,43,78,eMBB,High
1490,642,39.22,52,8.49,272.97,18.84,66.47,8.15,173,50,URLLC,High
3454,1018,42.75,89,9.19,750.28,24.18,97.52,3.79,141,81,URLLC,High
4235,966,16.25,84,4.46,675.41,9.16,57.71,9.51,135,20,eMBB,Low
6178,805,92.42,48,10.26,198.91,32.32,130.0,1.57,175,89,mMTC,High
6432,1766,81.07,43,14.14,509.1,40.18,130.0,9.15,141,94,URLLC,High
5189,1543,61.68,45,6.07,529.5,24.51,91.33,0.82,79,61,eMBB,Medium
6208,1605,42.98,97,1.81,1378.17,9.86,68.45,0.15,81,32,mMTC,Low
3707,1378,41.83,87,9.3,1013.27,24.95,82.16,10.78,134,58,mMTC,High
2683,155,40.59,73,5.08,41.28,16.37,60.13,6.98,87,47,eMBB,Medium
4173,518,62.93,90,6.36,337.17,22.86,86.88,4.22,176,56,eMBB,High
3175,778,60.03,62,8.19,370.06,23.09,100.41,2.79,126,81,mMTC,High
4006,1392,11.57,73,3.91,882.9,8.3,45.12,7.4,54,16,URLLC,Low
389,994,15.78,59,3.61,559.09,6.78,78.05,6.11,140,75,eMBB,Medium
2580,1643,30.03,55,8.58,774.54,17.55,98.87,11.9,55,86,eMBB,High
3352,970,52.17,44,10.24,306.58,27.84,84.36,11.8,14,71,eMBB,High
378,771,5.0,77,4.15,563.69,6.91,41.86,7.62,57,38,URLLC,Low
3024,332,56.08,49,5.46,79.68,17.55,74.91,5.31,162,47,URLLC,High
680,1229,32.74,82,8.58,918.72,18.06,89.79,5.89,87,93,eMBB,High
5058,1280,45.32,55,9.23,523.4,20.82,79.06,8.19,96,42,URLLC,High
353,1140,5.0,94,2.46,1040.81,1.17,51.82,1.22,143,38,URLLC,Low
4376,489,67.39,84,8.26,273.09,26.39,108.72,3.94,7,88,eMBB,High
4876,1714,37.64,57,4.09,821.78,8.47,72.04,0.9,172,32,eMBB,Low
924,1713,5.0,47,0.0,782.01,1.84,25.31,0.88,39,12,URLLC,Low
3932,206,65.76,38,5.95,5.0,22.88,79.23,2.35,13,54,mMTC,High
799,1586,5.0,43,1.28,654.73,2.88,38.74,5.82,52,17,URLLC,Low
5545,1271,90.76,69,14.54,632.1,41.2,116.78,9.42,126,95,URLLC,High
1480,671,30.39,55,8.27,306.62,18.96,58.71,5.83,154,38,eMBB,Medium
3996,373,41.1,92,1.51,238.94,10.42,47.2,4.03,174,11,eMBB,Low
1773,1741,22.28,52,0.0,861.0,4.44,78.34,0.99,79,59,URLLC,Low
2827,1446,27.96,77,5.28,993.75,16.61,94.55,6.6,114,74,eMBB,Medium
5834,1099,75.2,40,4.64,276.75,24.49,72.18,3.26,133,29,eMBB,Medium
6153,389,88.36,46,8.03,13.14,32.56,105.68,7.38,54,61,eMBB,High
